Species,Year,Julian Day of Year,Plant Identification Number,Number of Buds,Number of Flowers,Number of Flowers that have Reached Maturity,Observer Initials
Dryas integrifolia,2016,169,1,12,0,0,"AF,IW"
Dryas integrifolia,2016,172,1,47,0,0,LP
Dryas integrifolia,2016,175,1,48,0,0,"AF,LP"
Dryas integrifolia,2016,178,1,48,3,0,LP
Dryas integrifolia,2016,181,1,33,3,0,LP
Dryas integrifolia,2016,184,1,28,8,0,LP
Dryas integrifolia,2016,188,1,11,25,0,LP
Dryas integrifolia,2016,190,1,2,24,7,LP 
Dryas integrifolia,2016,193,1,0,8,23,AF 
Dryas integrifolia,2016,196,1,0,0,31,LP
